Time[UTC+0.0],lev[m],hs[m],hx[m],tp[s],tm01[s],tm02[s],dp[deg],dpm[deg],hs_sw1[m],hs_sw8[m],tp_sw1[s],tp_sw8[s],dpm_sw8[deg],dpm_sw1[deg],hs_sea8[m],hs_sea[m],tp_sea8[s],tp_sea[s],tm_sea[s],dpm_sea8[deg],dpm_sea[deg],hs_ig[m],hs_fig[m],wsp[kts],gst[kts],wd[deg],wsp100[kts],wsp50[kts],wsp80[kts],precip[mm/hr],tmp[C],rh[%],vis[km],cld[%],cb[m],csp0[kts],cd0[deg],ss[m],sst[C]
10/02/2014 5:00,0,1.9,3.5,13.1,6.6,5.6,0,243,1.4,1.3,13.1,13.1,243,243,1.3,0,7.4,0,0,163,0,0,0,5,6,136,6,6,6,0,17.4,72,11.8,0,0,0.6,247,-0.02,18.2
10/02/2014 6:00,0,1.8,3.4,13,6.6,5.6,0,244,1.4,1.3,13,13,244,244,1.3,0,7.4,0,0,166,0,0,0,8,10,121,9,9,9,0,17.1,70,12.6,0,0,0.5,241,0,18.1
10/02/2014 7:00,0,1.8,3.3,13,6.6,5.5,0,244,1.3,1.3,13,13,244,243,1.3,0,7.4,0,0,168,0,0,0,9,11,116,10,9,10,0,16.9,73,11.4,0,0,0.5,232,-0.01,17.9
10/02/2014 8:00,0,1.8,3.3,13,6.4,5.4,0,244,1.3,1.2,13,13,244,244,1.3,0,7.3,0,0,170,0,0,0,8,10,119,9,9,9,0,16.9,74,11.1,0,0,0.4,222,0.02,17.8
10/02/2014 9:00,0,1.7,3.2,12.9,6.4,5.4,0,244,1.3,1.2,12.9,12.9,244,244,1.2,0,7.3,0,0,173,0,0,0,7,9,120,8,8,8,0,16.9,75,10.9,0,0,0.3,212,0.03,17.8
10/02/2014 10:00,0,1.7,3.1,12.9,6.5,5.4,0,244,1.3,1.2,12.9,12.9,244,244,1.2,0,7.3,0,0,176,0,0,0,6,7,119,6,6,6,0,16.9,75,10.8,0,0,0.2,203,0.02,17.7
10/02/2014 11:00,0,1.7,3.1,12.8,6.5,5.5,0,244,1.3,1.2,12.8,12.8,244,244,1.2,0,7.2,0,0,181,0,0,0,6,7,106,6,6,6,0,16.9,76,10.5,0,0,0.1,202,0.02,17.7
10/02/2014 12:00,0,1.6,3,12.8,6.6,5.5,0,244,1.3,1.2,12.8,12.8,244,244,1.1,0,7.2,0,0,185,0,0,0,2,2,89,2,2,2,0,17.1,73,11.6,0,0,0,206,0.03,17.7
10/02/2014 13:00,0,1.6,2.9,12.7,6.5,5.4,0,244,1.3,1.1,12.7,12.7,244,244,1.1,0,7.3,0,0,192,0,0,0,1,2,38,1,1,1,0,17,77,10.2,0,0,0.1,351,0.02,17.6
10/02/2014 14:00,0,1.5,2.9,12.6,6.4,5.3,0,241,1.2,1.1,12.6,12.6,241,241,1.1,0,0,0,0,0,0,0,0,2,3,355,3,3,3,0,17,77,10.1,0,0,0.1,329,0.01,17.6
